Height,Weight,BMI,Gender
179.4156700976853,80.15635691358275,24.90102517881985,M
163.51913040057684,75.63009383365733,28.285085866042216,F
182.34445289632487,83.16211741954093,25.011539621638057,F
181.7858422966631,75.8858288685715,22.963631467640997,F
174.6885030233613,83.5756703272903,27.3874263194986,M
175.6011248976353,93.86555082675903,30.440490472160402,M
177.47831965331375,87.06358060698683,27.64050081587285,F
173.37722298067487,94.52985180107257,31.447410664639754,F
187.016537375441,92.57009863359727,26.467364780739572,F
172.9160050061885,90.76302421429351,30.355582547043525,M
176.94442609968556,72.90698217784448,23.286024436196115,M
183.25604283668508,82.1391518341338,24.458713243551742,M
178.01541742930695,79.88997090199362,25.21024283445476,M
179.47409854649564,75.68772157385297,23.497511485700176,M
174.1296066133504,92.80050121608251,30.605895007909393,M
179.23083178107265,82.20995984915172,25.591691718491607,F
190.18878343249523,82.95830118229058,22.934540807389894,M
179.39995516742164,78.73911901998684,24.465037792974073,F
186.81040239739818,86.70696435303371,24.845736200902756,F
174.2176707838824,83.15227715014215,27.396162955841056,F
195.26232463212872,82.37050131702468,21.60403133130738,M
170.9530285047682,85.74590168551896,29.339977322685648,M
176.07861060480457,94.69213854829351,30.542228331380585,M
172.27006773756042,91.04141557829969,30.677456775664975,F
159.49674212441238,77.66710393516367,30.530469165734583,M
191.03649789198974,83.21750938348305,22.802476546453583,M
182.8377704694459,83.96643765741379,25.117354467719093,F
167.7098345863959,86.0877505374536,30.60724914411862,M
183.80227034521053,83.82705365620636,24.81318187425615,M
187.02608281127772,80.30730089092907,22.958878723564624,M
177.42524434283993,87.05652603624333,27.654799159507345,F
184.4052462768955,78.9100421140677,23.205222143150696,M
169.44897401911163,73.25385198145182,25.512474247800593,M
165.38779854323394,90.59565782711535,33.12077192177888,F
178.844386220634,88.16707627515225,27.564861468852467,F
163.35093224069487,78.94504255164317,29.585684966825617,F
159.21688894778399,81.21908694011134,32.03906514674103,M
165.71652296981094,94.92570356163822,34.56624467919844,F
169.5669001741138,85.15789336832493,29.617114709185113,F
